day,views
2014-02-06,233892
2014-02-07,215853
2014-02-08,189034
2014-02-09,216391
2014-02-10,241755
2014-02-11,245776
2014-02-12,240781
2014-02-13,237045
2014-02-14,198869
2014-02-15,188099
2014-02-16,220596
2014-02-17,257345
2014-02-18,267799
2014-02-19,251893
2014-02-20,240157
2014-02-21,225365
2014-02-22,187679
2014-02-23,218305
2014-02-24,263077
2014-02-25,257395
2014-02-26,274572
2014-02-27,257940
2014-02-28,226630
2014-03-01,196498
2014-03-02,230473
2014-03-03,251513
2014-03-04,248515
2014-03-05,248541
2014-03-06,244695
2014-03-07,229997
2014-03-08,187378
2014-03-09,214131
2014-03-10,240795
2014-03-11,238913
2014-03-12,240486
2014-03-13,233848
2014-03-14,215187
2014-03-15,180356
2014-03-16,230058
2014-03-17,246329
2014-03-18,246077
2014-03-19,244595
2014-03-20,237411
2014-03-21,214876
2014-03-22,186053
2014-03-23,219909
2014-03-24,340033
2014-03-25,269802
2014-03-26,250970
2014-03-27,261172
2014-03-28,219608
2014-03-29,190366
2014-03-30,215681
2014-03-31,248327
2014-04-01,237236
2014-04-02,240877
2014-04-03,238760
2014-04-04,229116
2014-04-05,181557
2014-04-06,228411
2014-04-07,249446
2014-04-08,247577
2014-04-09,240698
2014-04-10,231932
2014-04-11,212295
2014-04-12,163718
2014-04-13,192001
2014-04-14,232746
2014-04-15,232325
2014-04-16,222604
2014-04-17,211839
2014-04-18,189823
2014-04-19,168807
2014-04-20,194529
2014-04-21,246553
2014-04-22,259659
2014-04-23,252394
2014-04-24,266920
2014-04-25,260403
2014-04-26,196752
2014-04-27,231128
2014-04-28,272208
2014-04-29,263501
2014-04-30,252858
2014-05-01,253190
2014-05-02,229207
2014-05-03,180225
2014-05-04,227361
2014-05-05,288765
2014-05-06,273651
2014-05-07,282104
2014-05-08,285949   
